threads,image_count,task_count,successful_tasks,total_time_seconds
6,3,18,18,0.381860
6,3,18,18,0.175807
6,3,18,18,0.232464
6,3,18,18,0.264960
6,3,18,18,0.241677
6,3,18,18,0.159720
6,3,18,18,0.293227
6,3,18,18,0.196560
6,3,18,18,0.422494
6,3,18,18,0.441219
6,3,18,18,0.108833
6,3,6,6,0.158179
6,6,12,12,0.043813
1,2,12,12,0.070579
1,3,18,18,0.087054
6,7,14,14,0.032950
6,7,14,14,0.021665
6,7,14,14,0.048421
6,7,14,14,0.114810
2,1,1,1,0.001424
6,10,20,20,0.180133
6,10,20,20,0.166531
6,10,60,60,0.264229
