threads,image,transform,input_path,output_path,status,task_time_seconds
6,img_01_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__flip_h_gray.bmp,ok,0.012493
6,img_01_convertico-coffee-bean-24-bit-bmp,inversion_vertical_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__flip_v_gray.bmp,ok,0.007878
6,img_01_convertico-coffee-bean-24-bit-bmp,desenfoque_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__blur_gray.bmp,ok,0.015527
6,img_01_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__flip_h_color.bmp,ok,0.027013
6,img_01_convertico-coffee-bean-24-bit-bmp,inversion_vertical_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__flip_v_color.bmp,ok,0.004824
6,img_01_convertico-coffee-bean-24-bit-bmp,desenfoque_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_01_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_convertico-coffee-bean-24-bit-bmp__blur_color.bmp,ok,0.008718
6,img_02_sample_1280×853,inversion_horizontal_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_h_gray.bmp,ok,0.003118
6,img_02_sample_1280×853,inversion_vertical_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_v_gray.bmp,ok,0.003280
6,img_02_sample_1280×853,desenfoque_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__blur_gray.bmp,ok,0.010483
6,img_02_sample_1280×853,inversion_horizontal_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_h_color.bmp,ok,0.003143
6,img_02_sample_1280×853,inversion_vertical_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_v_color.bmp,ok,0.001805
6,img_02_sample_1280×853,desenfoque_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__blur_color.bmp,ok,0.005510
6,img_03_1-bmp-sample-2_(1),inversion_horizontal_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__flip_h_gray.bmp,ok,0.092451
6,img_03_1-bmp-sample-2_(1),inversion_vertical_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__flip_v_gray.bmp,ok,0.040720
6,img_03_1-bmp-sample-2_(1),desenfoque_grises,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__blur_gray.bmp,ok,0.029712
6,img_03_1-bmp-sample-2_(1),inversion_horizontal_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__flip_h_color.bmp,ok,0.034613
6,img_03_1-bmp-sample-2_(1),inversion_vertical_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__flip_v_color.bmp,ok,0.024953
6,img_03_1-bmp-sample-2_(1),desenfoque_color,/tmp/img_analyzer_qt5_crtdet8i/input/img_03_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_1-bmp-sample-2_(1)__blur_color.bmp,ok,0.054984
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_h_gray.bmp,ok,0.019479
6,img_01_1-bmp-sample-2_(1),inversion_vertical_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_v_gray.bmp,ok,0.012058
6,img_01_1-bmp-sample-2_(1),desenfoque_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__blur_gray.bmp,ok,0.021932
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_h_color.bmp,ok,0.007757
6,img_01_1-bmp-sample-2_(1),inversion_vertical_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_v_color.bmp,ok,0.006249
6,img_01_1-bmp-sample-2_(1),desenfoque_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__blur_color.bmp,ok,0.027381
6,img_02_sample_1280×853,inversion_horizontal_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_h_gray.bmp,ok,0.008316
6,img_02_sample_1280×853,inversion_vertical_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_v_gray.bmp,ok,0.012360
6,img_02_sample_1280×853,desenfoque_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__blur_gray.bmp,ok,0.011937
6,img_02_sample_1280×853,inversion_horizontal_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_h_color.bmp,ok,0.008105
6,img_02_sample_1280×853,inversion_vertical_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__flip_v_color.bmp,ok,0.002512
6,img_02_sample_1280×853,desenfoque_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_02_sample_1280×853.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_sample_1280×853__blur_color.bmp,ok,0.007098
6,img_03_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__flip_h_gray.bmp,ok,0.002764
6,img_03_convertico-coffee-bean-24-bit-bmp,inversion_vertical_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__flip_v_gray.bmp,ok,0.001781
6,img_03_convertico-coffee-bean-24-bit-bmp,desenfoque_grises,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__blur_gray.bmp,ok,0.007044
6,img_03_convertico-coffee-bean-24-bit-bmp,inversion_horizontal_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__flip_h_color.bmp,ok,0.002350
6,img_03_convertico-coffee-bean-24-bit-bmp,inversion_vertical_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__flip_v_color.bmp,ok,0.003490
6,img_03_convertico-coffee-bean-24-bit-bmp,desenfoque_color,/tmp/img_analyzer_qt5_ct92j4rz/input/img_03_convertico-coffee-bean-24-bit-bmp.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_convertico-coffee-bean-24-bit-bmp__blur_color.bmp,ok,0.012836
6,img_01_1-bmp-sample-2_(1),inversion_horizontal_grises,/tmp/img_analyzer_qt5_oedv08an/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_h_gray.bmp,ok,0.009940
6,img_01_1-bmp-sample-2_(1),inversion_vertical_grises,/tmp/img_analyzer_qt5_oedv08an/input/img_01_1-bmp-sample-2_(1).bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_01_1-bmp-sample-2_(1)__flip_v_gray.bmp,ok,0.011986
